Epoch 1700, Loss: 2.3177643608497944, L_bead_necessary: 0.051851850003004074, L_adj_necessary: 0.014326647855341434
Epoch 1710, Loss: 0.43760018964347086, L_bead_necessary: 0.0, L_adj_necessary: 0.005586592014878988
Epoch 1720, Loss: 0.43824666907128534, L_bead_necessary: 0.0, L_adj_necessary: 0.014326647855341434
Epoch 1730, Loss: 0.6156427793940039, L_bead_necessary: 0.05223880708217621, L_adj_necessary: 0.017341040074825287
Epoch 1740, Loss: 0.43848067178194855, L_bead_necessary: 0.0, L_adj_necessary: 0.014326647855341434
Epoch 1750, Loss: 0.436793945243239, L_bead_necessary: 0.0, L_adj_necessary: 0.005586592014878988
Epoch 1760, Loss: 0.4389145341358687, L_bead_necessary: 0.0, L_adj_necessary: 0.011363636702299118
Epoch 1770, Loss: 0.4365610717630357, L_bead_necessary: 0.0, L_adj_necessary: 0.002770083025097847
Epoch 1780, Loss: 0.4370813410435068, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 1790, Loss: 0.43835731682024504, L_bead_necessary: 0.0, L_adj_necessary: 0.005586592014878988
Epoch 1800, Loss: 0.43831028506944053, L_bead_necessary: 0.007407407276332378, L_adj_necessary: 0.014326647855341434
Epoch 1810, Loss: 0.43840359378802146, L_bead_necessary: 0.0, L_adj_necessary: 0.017341040074825287
Epoch 1820, Loss: 0.438156438187549, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 1830, Loss: 0.4372820494598464, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 1840, Loss: 0.43785699272626327, L_bead_necessary: 0.0, L_adj_necessary: 0.014326647855341434
Epoch 1850, Loss: 0.43689218124276713, L_bead_necessary: 0.0, L_adj_necessary: 0.002770083025097847
Epoch 1860, Loss: 0.43716065679725846, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 1870, Loss: 0.5335078440398272, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 1880, Loss: 0.4365875422170288, L_bead_necessary: 0.0, L_adj_necessary: 0.002770083025097847
Epoch 1890, Loss: 0.4361551473407369, L_bead_necessary: 0.0, L_adj_necessary: 0.002770083025097847
Epoch 1900, Loss: 0.4375834995194485, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 1910, Loss: 0.4374897600090327, L_bead_necessary: 0.007352941203862429, L_adj_necessary: 0.011363636702299118
Epoch 1920, Loss: 0.4369817038899974, L_bead_necessary: 0.0, L_adj_necessary: 0.002770083025097847
Epoch 1930, Loss: 0.43758088973791975, L_bead_necessary: 0.0, L_adj_necessary: 0.011363636702299118
Epoch 1940, Loss: 0.5871084041501347, L_bead_necessary: 0.05797101557254791, L_adj_necessary: 0.005586592014878988
Epoch 1950, Loss: 0.43747899312722055, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 1960, Loss: 0.43616754902820837, L_bead_necessary: 0.0, L_adj_necessary: 0.002770083025097847
Epoch 1970, Loss: 0.4382859245334801, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 1980, Loss: 0.4375781485516774, L_bead_necessary: 0.0, L_adj_necessary: 0.011363636702299118
Epoch 1990, Loss: 0.43858437977339093, L_bead_necessary: 0.0, L_adj_necessary: 0.020408162847161293
Epoch 2000, Loss: 0.43792006200865696, L_bead_necessary: 0.0, L_adj_necessary: 0.005586592014878988
Epoch 2010, Loss: 0.43761140445345326, L_bead_necessary: 0.0, L_adj_necessary: 0.011363636702299118
Epoch 2020, Loss: 0.43689372324825904, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 2030, Loss: 0.43910278431875144, L_bead_necessary: 0.021739130839705467, L_adj_necessary: 0.005586592014878988
Epoch 2040, Loss: 0.43787966997999894, L_bead_necessary: 0.0, L_adj_necessary: 0.011363636702299118
Epoch 2050, Loss: 0.4361405784754377, L_bead_necessary: 0.0, L_adj_necessary: 0.002770083025097847
Epoch 2060, Loss: 0.43728913382480017, L_bead_necessary: 0.0, L_adj_necessary: 0.005586592014878988
Epoch 2070, Loss: 0.43789754419734606, L_bead_necessary: 0.0, L_adj_necessary: 0.014326647855341434
Epoch 2080, Loss: 0.43683469385692947, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 2090, Loss: 0.4365783971391226, L_bead_necessary: 0.0, L_adj_necessary: 0.002770083025097847
Epoch 2100, Loss: 0.4368619141763223, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 2110, Loss: 0.4380239783933288, L_bead_necessary: 0.0, L_adj_necessary: 0.011363636702299118
Epoch 2120, Loss: 0.43777060962012526, L_bead_necessary: 0.007407407276332378, L_adj_necessary: 0.014326647855341434
Epoch 2130, Loss: 0.43792382121870393, L_bead_necessary: 0.0, L_adj_necessary: 0.002770083025097847
Epoch 2140, Loss: 0.4368969916513092, L_bead_necessary: 0.0, L_adj_necessary: 0.005586592014878988
Epoch 2150, Loss: 0.43772359443338293, L_bead_necessary: 0.0, L_adj_necessary: 0.014326647855341434
Epoch 2160, Loss: 0.43754838293320253, L_bead_necessary: 0.0, L_adj_necessary: 0.002770083025097847
Epoch 2170, Loss: 0.4380249431338406, L_bead_necessary: 0.0, L_adj_necessary: 0.014326647855341434
Epoch 2180, Loss: 0.43647852187093933, L_bead_necessary: 0.0, L_adj_necessary: 0.005586592014878988
Epoch 2190, Loss: 0.43881037434636566, L_bead_necessary: 0.0, L_adj_necessary: 0.017341040074825287
Epoch 2200, Loss: 0.4374018286403857, L_bead_necessary: 0.0, L_adj_necessary: 0.011363636702299118
Epoch 2210, Loss: 0.4384299366881973, L_bead_necessary: 0.0, L_adj_necessary: 0.011363636702299118
Epoch 2220, Loss: 0.43839152796488057, L_bead_necessary: 0.0, L_adj_necessary: 0.017341040074825287
Epoch 2230, Loss: 0.4359796317533198, L_bead_necessary: 0.0, L_adj_necessary: 0.002770083025097847
Epoch 2240, Loss: 0.43756097351249895, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 2250, Loss: 0.43655904609906043, L_bead_necessary: 0.0, L_adj_necessary: 0.005586592014878988
Epoch 2260, Loss: 0.6473481948046308, L_bead_necessary: 0.021739130839705467, L_adj_necessary: 0.005586592014878988
Epoch 2270, Loss: 0.43645594516082814, L_bead_necessary: 0.0, L_adj_necessary: 0.002770083025097847
Epoch 2280, Loss: 0.438094647307145, L_bead_necessary: 0.0, L_adj_necessary: 0.017341040074825287
Epoch 2290, Loss: 0.44028897003123635, L_bead_necessary: 0.0, L_adj_necessary: 0.014326647855341434
Epoch 2300, Loss: 0.43855959600523897, L_bead_necessary: 0.0, L_adj_necessary: 0.017341040074825287
Epoch 2310, Loss: 0.43685917517072276, L_bead_necessary: 0.0, L_adj_necessary: 0.008450704626739025
Epoch 2320, Loss: 0.43964625381325423, L_bead_necessary: 0.0, L_adj_necessary: 0.017341040074825287
Epoch 2330, Loss: 0.4359114676646545, L_bead_necessary: 0.0, L_adj_necessary: 0.0
